ayah_no_quran,surah_no,ayah_no_surah,tafsir,arabic,text
3307,28,55,ibn_abbas,وَإِذَا سَمِعُواْ ٱللَّغْوَ أَعْرَضُواْ عَنْهُ وَقَالُواْ لَنَآ أَعْمَالُنَا وَلَكُمْ أَعْمَالُكُمْ سَلاَمٌ عَلَيْكُمْ لاَ نَبْتَغِي ٱلْجَاهِلِينَ,"(And when they hear vanity) falsehood, i.e. being vilified by the disbelievers (they withdraw from it) in an honourable way (and say) kindly: (Unto us our works) the worship of Allah and the religion of Islam (and unto you your works) upon you is the onus of your works: the worship of idols, the religion of the devil and the association of partners with Allah. (Peace be unto you!) May Allah guide you! (We desire not the ignorant) we do not seek the religion of those who associate partners with Allah."
3308,28,56,ibn_abbas,إِنَّكَ لاَ تَهْدِي مَنْ أَحْبَبْتَ وَلَـٰكِنَّ ٱللَّهَ يَهْدِي مَن يَشَآءُ وَهُوَ أَعْلَمُ بِٱلْمُهْتَدِينَ,"(Lo! thou) O Muhammad (guidest not) know not (whom thou lovest) i.e. whom you love to accept faith: i.e. Abu Talib, (but Allah guideth) He gives success and leads (whom He will) to His religion: Abu Bakr, 'Umar and their fellow believers. (And He is best aware of those who walk aright) to His religion."
3309,28,57,ibn_abbas,وَقَالُوۤاْ إِن نَّتَّبِعِ ٱلْهُدَىٰ مَعَكَ نُتَخَطَّفْ مِنْ أَرْضِنَآ أَوَلَمْ نُمَكِّن لَّهُمْ حَرَماً آمِناً يُجْبَىٰ إِلَيْهِ ثَمَرَاتُ كُلِّ شَيْءٍ رِّزْقاً مِّن لَّدُنَّا وَلَـٰكِنَّ أَكْثَرَهُمْ لاَ يَعْلَمُونَ,"(And they say) i.e. Harth Ibn 'Amr al-Nawfali and his host: (If we were to follow the Guidance) the confession of Allah's divine Oneness (with thee) O Muhammad (we should be torn out) expelled (of our land) Mecca. (Have We not established for them) We made them dwell in (a sure sanctuary) free of turmoil, (whereunto the produce of all things is brought (in trade), a provision from Our presence?) A sustenance for them from Us, so how am I to set the disbelievers on them if they were to believe? (But most of them know not) this nor believe in it."
3310,28,58,ibn_abbas,وَكَمْ أَهْلَكْنَا مِن قَرْيَةٍ بَطِرَتْ مَعِيشَتَهَا فَتِلْكَ مَسَاكِنُهُمْ لَمْ تُسْكَن مِّن بَعْدِهِمْ إِلاَّ قَلِيلاً وَكُنَّا نَحْنُ ٱلْوَارِثِينَ,"(And how many a community) how many inhabitants of a community (have We destroyed that was thankless for its means of livelihood! And yonder are their dwellings, which have not been inhabited after them) after their destruction (save a little) save some of them which are inhabited by travellers whereas most of them are in ruin. (And We, even We, were the inheritors) the owners of what they had owned and left behind after their destruction."
3311,28,59,ibn_abbas,وَمَا كَانَ رَبُّكَ مُهْلِكَ ٱلْقُرَىٰ حَتَّىٰ يَبْعَثَ فِيۤ أُمِّهَا رَسُولاً يَتْلُو عَلَيْهِمْ آيَاتِنَا وَمَا كُنَّا مُهْلِكِي ٱلْقُرَىٰ إِلاَّ وَأَهْلُهَا ظَالِمُونَ,"(And never did thy Lord destroy the townships) the inhabitants of any township, (till He had raised up in their mother (-town)) their greatest town, i.e. Mecca; it is also said that this means: until He sends to their leaders and chiefs (a messenger reciting unto them Our revelations) explaining the commands and prohibitions. (And never did We destroy the townships) the inhabitants of any township (unless the folk thereof were evil-doers) idolaters."
3312,28,60,ibn_abbas,وَمَآ أُوتِيتُم مِّن شَيْءٍ فَمَتَاعُ ٱلْحَيَاةِ ٱلدُّنْيَا وَزِينَتُهَا وَمَا عِندَ ٱللَّهِ خَيْرٌ وَأَبْقَىٰ أَفَلاَ تَعْقِلُونَ,"(And whatsoever ye have been given) whatever you are given of wealth and servants, (is a comfort of the life of the world) is like the ornament of the life of the world: like pottery and glass (and an ornament thereof) and an embellishment, and the latter does not last forever; (and that which Allah hath) for Muhammad and his Companions in Paradise (is better and more lasting) than that which you have in the life of the world. (Have ye then no sense?) do you not possess sound thinking to realise that this worldly life is perishing while the Hereafter is lasting?"
3313,28,61,ibn_abbas,أَفَمَن وَعَدْنَاهُ وَعْداً حَسَناً فَهُوَ لاَقِيهِ كَمَن مَّتَّعْنَاهُ مَتَاعَ ٱلْحَيَاةِ ٱلدُّنْيَا ثُمَّ هُوَ يَوْمَ ٱلْقِيَامَةِ مِنَ ٱلْمُحْضَرِينَ,"(Is he whom We have promised a fair promise) Paradise; the reference here is to Muhammad (pbuh) and his Companions; it is also said that the reference is to 'Uthman Ibn 'Affan (which he will find (true)) in the Hereafter (like him whom We suffer to enjoy awhile the comfort of the life of the world) like him whom We gave wealth and servants in the life of the world; the reference here is to Abu Jahl, (then on the Day of Resurrection he will be of those arraigned) of those who are tormented in hell?"
3314,28,62,ibn_abbas,وَيَوْمَ يُنَادِيهِمْ فَيَقُولُ أَيْنَ شُرَكَآئِيَ ٱلَّذِينَ كُنتُمْ تَزْعُمُونَ,"(On the Day) which is the Day of Judgement (when He) i.e. Allah (will call unto them) Abu Jahl and his host (and say) and Allah, glorified is He, says: (Where are My partners whom you imagined) whom you worshipped and claimed they were my partners?"
3315,28,63,ibn_abbas,قَالَ ٱلَّذِينَ حَقَّ عَلَيْهِمُ ٱلْقَوْلُ رَبَّنَا هَـٰؤُلاۤءِ ٱلَّذِينَ أَغْوَيْنَآ أَغْوَيْنَاهُمْ كَمَا غَوَيْنَا تَبَرَّأْنَآ إِلَيْكَ مَا كَانُوۤاْ إِيَّانَا يَعْبُدُونَ,"(Those concerning whom the Word) of wrath and torment, i.e. the leaders, (will have come true) has been enjoined upon (will say: Our Lord!) O our Lord! (These) lowly people (are they whom we led astray) we led to error. (We led them astray) we misled them from the Truth and guidance (even as we ourselves were astray. We declare our innocence before You) we exonerate ourselves from them: (us they never worshipped) i.e. by our command."
3316,28,64,ibn_abbas,وَقِيلَ ٱدْعُواْ شُرَكَآءَكُمْ فَدَعَوْهُمْ فَلَمْ يَسْتَجِيبُواْ لَهُمْ وَرَأَوُاْ ٱلْعَذَابَ لَوْ أَنَّهُمْ كَانُواْ يَهْتَدُونَ,"(And it will be said: Cry unto your (so called) partners (of Allah)) call upon your deities to save you from Allah's torment. (And they will cry unto them, and they will give no answer unto them) they will not respond in order to save them from Allah's chastisement, (and they) the leaders and their followers (will see the Doom. Ah, if they had but been guided!) they wished they followed the Truth and guidance in the life of the world."
3317,28,65,ibn_abbas,وَيَوْمَ يُنَادِيهِمْ فَيَقُولُ مَاذَآ أَجَبْتُمُ ٱلْمُرْسَلِينَ,(And on the Day) of Judgement (when He will call unto them) Allah will call unto the disbelievers (and say: What answer gave ye to the messengers) regarding that for which they invited you?
3318,28,66,ibn_abbas,فَعَمِيَتْ عَلَيْهِمُ ٱلأَنبَـآءُ يَوْمَئِذٍ فَهُمْ لاَ يَتَسَآءَلُونَ,"(On that day) the Day of Judgement ((all) tidings) the events and answer (will be dimmed) confused (for them, nor will they ask one of another) they will not answer one another,"
3319,28,67,ibn_abbas,فَأَمَّا مَن تَابَ وَآمَنَ وَعَمِلَ صَالِحاً فَعَسَىٰ أَن يَكُونَ مِنَ ٱلْمُفْلِحِينَ,"(But as for him who shall repent) from disbelief (and believe) in Allah (and do right) sincerely between him and his Lord, (he haply may be) “may be” in connection with Allah denotes a necessity (one of the successful) one of those saved from Allah's wrath and torment."
3320,28,68,ibn_abbas,وَرَبُّكَ يَخْلُقُ مَا يَشَآءُ وَيَخْتَارُ مَا كَانَ لَهُمُ ٱلْخِيَرَةُ سُبْحَانَ ٱللَّهِ وَتَعَالَىٰ عَمَّا يُشْرِكُونَ,"(Thy Lord bringeth to pass what He willeth) as He wills (and chooseth) from His created beings those upon whom He bestows prophethood, i.e. Muhammad (pbuh). (They) the people of Mecca (have never any choice. Glorified be Allah) Allah sanctifies Himself (and exalted) and exonerates Himself (above all that they associate (with Him)) of idols!"
3321,28,69,ibn_abbas,وَرَبُّكَ يَعْلَمُ مَا تُكِنُّ صُدُورُهُمْ وَمَا يُعْلِنُونَ,"(And thy Lord knoweth what you breasts conceal) of hatred and enmity, (and what they publish) of transgressions."
3322,28,70,ibn_abbas,وَهُوَ ٱللَّهُ لاۤ إِلَـٰهَ إِلاَّ هُوَ لَهُ ٱلْحَمْدُ فِي ٱلأُولَىٰ وَٱلآخِرَةِ وَلَهُ ٱلْحُكْمُ وَإِلَيْهِ تُرْجَعُونَ,"(And He is Allah; there is no god save Him) He has no son or partner. (His is all praise) all gratitude (in the former and the latter) upon the dwellers of the earth and the dwellers of heaven; it is also said that this means: praise, favour and beneficence is upon the inhabitants of the heaven and the earth, (and His is the command) judgement between them, (and unto Him ye will be brought back) after death."
3323,28,71,ibn_abbas,قُلْ أَرَأَيْتُمْ إِن جَعَلَ ٱللَّهُ عَلَيْكُمُ ٱلْلَّيْلَ سَرْمَداً إِلَىٰ يَوْمِ ٱلْقِيَامَةِ مَنْ إِلَـٰهٌ غَيْرُ ٱللَّهِ يَأْتِيكُمْ بِضِيَآءٍ أَفَلاَ تَسْمَعُونَ,"(Say) O Muhammad, to the people of Mecca: (Have ye thought) what do you say, O disbelievers, (if Allah made night everlasting) everlastingly dark (for you till the Day of Resurrection) such that you see no day, (who is a god beside Allah) other than Allah (who could bring you light) of day? (Will ye not then hear) will you not obey He who made the day and the night for you?"
3324,28,72,ibn_abbas,قُلْ أَرَأَيْتُمْ إِن جَعَلَ ٱللَّهُ عَلَيْكُمُ ٱلنَّهَارَ سَرْمَداً إِلَىٰ يَوْمِ ٱلْقِيَامَةِ مَنْ إِلَـٰهٌ غَيْرُ ٱللَّهِ يَأْتِيكُمْ بِلَيْلٍ تَسْكُنُونَ فِيهِ أَفلاَ تُبْصِرُونَ,"(Say) also to them, O Muhammad: (Have ye thought) what do you say, (if Allah made day everlasting) everlastingly bright (for you till the Day of Resurrection) without night, (who is a God beside Allah) other than Allah (who could, bring you night wherein ye rest? Will ye not then see?) will you not believe He Who made the day and the night for you."
3325,28,73,ibn_abbas,وَمِن رَّحْمَتِهِ جَعَلَ لَكُمُ ٱلَّيلَ وَٱلنَّهَارَ لِتَسْكُنُواْ فِيهِ وَلِتَبتَغُواْ مِن فَضْلِهِ وَلَعَلَّكُمْ تَشْكُرُونَ,"(Of His mercy) of His blessing (hath He appointed) He created (for you night and day that therein ye may rest) that you may rest at night, (and that ye may seek His bounty) that during the day you may seek His bounty through knowledge and worship, (and that haply ye may be thankful) so that you give thanks for the blessing of the day and the night that He has given you."
3326,28,74,ibn_abbas,وَيَوْمَ يُنَادِيهِمْ فَيَقُولُ أَيْنَ شُرَكَآئِيَ ٱلَّذِينَ كُنتُمْ تَزْعُمُونَ,(And on the Day) which is the Day of Judgement (when He shall call unto them and say: Where are My partners whom ye pretended) whom you claimed were My partners?
3327,28,75,ibn_abbas,وَنَزَعْنَا مِن كُلِّ أُمَّةٍ شَهِيداً فَقُلْنَا هَاتُواْ بُرْهَانَكُمْ فَعَلِمُوۤاْ أَنَّ ٱلْحَقَّ لِلَّهِ وَضَلَّ عَنْهُمْ مَّا كَانُواْ يَفْتَرُونَ,"(And We shall take out from every nation a witness) a prophet who will testify against them, i.e. that he conveyed the message to them; this prophet is the prophet who was sent to them in the life of the world (and We shall say: Bring your proof) why did you reject the messengers? (Then they will know) each nation will know (that Allah hath the Truth) that the worship of Allah and the religion of Allah are the Truth, and that their judgement is up to Allah, (and all that they invented) all that which they falsely worshipped (will have failed them) will become too preoccupied with themselves to help them."
3328,28,76,ibn_abbas,إِنَّ قَارُونَ كَانَ مِن قَوْمِ مُوسَىٰ فَبَغَىٰ عَلَيْهِمْ وَآتَيْنَاهُ مِنَ ٱلْكُنُوزِ مَآ إِنَّ مَفَاتِحَهُ لَتَنُوءُ بِٱلْعُصْبَةِ أُوْلِي ٱلْقُوَّةِ إِذْ قَالَ لَهُ قَوْمُهُ لاَ تَفْرَحْ إِنَّ ٱللَّهَ لاَ يُحِبُّ ٱلْفَرِحِينَ,"(Now Korah was of Moses folk) He was Moses' cousin, (but he oppressed them) but he transgressed against Moses, Aaron and their folk. He said: “Moses has been given messengership and Aaron religious authority while have nothing; this I will not accept”, and he rejected Moses' prophethood (and We gave him so much treasure) wealth (that the stores thereof) the keys of his stores (would verily have been a burden for a troop of mighty men) 40 men carried the keys of his stores. (When his own folk) the folk of Moses (said unto him: Exult not) do not be too proud nor associate partners with Allah; (lo! Allah loveth not the exultant) Allah does not love those who are too proud because of their wealth;"
3329,28,77,ibn_abbas,وَٱبْتَغِ فِيمَآ آتَاكَ ٱللَّهُ ٱلدَّارَ ٱلآخِرَةَ وَلاَ تَنسَ نَصِيبَكَ مِنَ ٱلدُّنْيَا وَأَحْسِن كَمَآ أَحْسَنَ ٱللَّهُ إِلَيْكَ وَلاَ تَبْغِ ٱلْفَسَادَ فِي ٱلأَرْضِ إِنَّ ٱللَّهَ لاَ يُحِبُّ ٱلْمُفْسِدِينَ,"(But seek the abode of the Hereafter) Paradise (in that which Allah hath given you) through that which Allah has given you of wealth (and neglect not thy portion of the world) do not leave your portion in the Hereafter because of your portion in this worldly life; it is also said: your portion of this worldly life will not diminish because of spending from it for the Hereafter, (and be thou kind) to the poor and needy (even as Allah hath been kind to thee) by giving you wealth, (and seek not corruption in the earth) do not commit transgressions and oppose the command of the Messenger Moses, Allah give him peace; (lo! Allah loveth not corrupters) who commit transgressions,"
3330,28,78,ibn_abbas,قَالَ إِنَّمَآ أُوتِيتُهُ عَلَىٰ عِلْمٍ عِندِيۤ أَوَلَمْ يَعْلَمْ أَنَّ ٱللَّهَ قَدْ أَهْلَكَ مِن قَبْلِهِ مِنَ ٱلْقُرُونِ مَنْ هُوَ أَشَدُّ مِنْهُ قُوَّةً وَأَكْثَرُ جَمْعاً وَلاَ يُسْأَلُ عَن ذُنُوبِهِمُ ٱلْمُجْرِمُونَ,(He said) Korah said: (I have been given it) this wealth (only on account of knowledge I possess) because Allah knows that I deserve it; it is also said that this means: he made gold from his knowledge of alchemy. (Knew he not) i.e. Korah (that Allah had destroyed already of the generations before him men who were mightier than Him in strength) who were physically stronger than him (and greater about following) and greater in respect to the wealth and men they had? (The guilty are not questioned of their sins) the idolaters will not be asked on the Day of Judgement about their sins because they will be known through distinct marks.
3331,28,79,ibn_abbas,فَخَرَجَ عَلَىٰ قَوْمِهِ فِي زِينَتِهِ قَالَ ٱلَّذِينَ يُرِيدُونَ ٱلْحَيَاةَ ٱلدُّنْيَا يٰلَيْتَ لَنَا مِثْلَ مَآ أُوتِيَ قَارُونُ إِنَّهُ لَذُو حَظٍّ عَظِيمٍ,"(Then went he forth) i.e. Korah (before his people in his pomp) his horses, mules, servant boys and servant girls, attires of gold and silver and different kinds of arms and clothes. (Those who were desirous of the life of the world said: Ah, would that unto us had been given the like of what has been given unto Korah) of wealth! (Lo! he is lord of rare good fortune."
3332,28,80,ibn_abbas,وَقَالَ ٱلَّذِينَ أُوتُواْ ٱلْعِلْمَ وَيْلَكُمْ ثَوَابُ ٱللَّهِ خَيْرٌ لِّمَنْ آمَنَ وَعَمِلَ صَالِحاً وَلاَ يُلَقَّاهَآ إِلاَّ ٱلصَّابِرُونَ,"But those who had been given knowledge) the knowledge of abstinence and trust in Allah (said) to the desirous ones: (Woe unto you!) may Allah straiten this worldly life for you! (The reward of Allah) in Paradise (for him who believeth) in Allah and in Moses (and doeth right) sincerely between him and his Lord (is better, and only the steadfast will obtain it) only those who are patient in fulfilling the commands of Allah and in withstanding misfortunes will obtain Paradise; it is also said that this means: no one will be given success to enjoin good and forbid evil except those who are patient in fulfilling the commands of Allah and withstanding misfortunes."
3333,28,81,ibn_abbas,فَخَسَفْنَا بِهِ وَبِدَارِهِ ٱلأَرْضَ فَمَا كَانَ لَهُ مِن فِئَةٍ يَنصُرُونَهُ مِن دُونِ ٱللَّهِ وَمَا كَانَ مِنَ ٱلْمُنتَصِرِينَ,"(So We caused the earth to swallow him and his dwelling-place) We cause the earth to swallow Korah and his house. (Then he had no host) no group or troop (to help him against Allah) against Allah's punishment when it came on him, (nor was he of those who can save themselves) from the torment."
3334,28,82,ibn_abbas,وَأَصْبَحَ ٱلَّذِينَ تَمَنَّوْاْ مَكَانَهُ بِٱلأَمْسِ يَقُولُونَ وَيْكَأَنَّ ٱللَّهَ يَبْسُطُ ٱلرِّزْقَ لِمَن يَشَآءُ مِنْ عِبَادِهِ وَيَقْدِرُ لَوْلاۤ أَن مَّنَّ ٱللَّهُ عَلَيْنَا لَخَسَفَ بِنَا وَيْكَأَنَّهُ لاَ يُفْلِحُ ٱلْكَافِرُونَ,"(And morning found those who had coveted his place) his status, standing and wealth (but yesterday crying) to one another: (Ah, welladay!) it is not as Korah said, i.e. that his wealth was his own doing, but rather (Allah enlargeth the provision for whom He will of His slaves) and in the case of Korah such wealth was a lure to perdition (and straiteneth it (for whom He will)) out of care for the person. (If Allah had not been gracious unto us) and withheld from us what He gave him, (He would have caused it to swallow us (also)) as it swallowed Korah. (Ah, welladay! the disbelievers never prosper) they will never be safe from Allah's torment."
3335,28,83,ibn_abbas,تِلْكَ ٱلدَّارُ ٱلآخِرَةُ نَجْعَلُهَا لِلَّذِينَ لاَ يُرِيدُونَ عُلُوّاً فِي ٱلأَرْضِ وَلاَ فَسَاداً وَٱلْعَاقِبَةُ لِلْمُتَّقِينَ,"(As for that Abode of the Hereafter) Paradise (We assign it unto those who seek not oppression) and haughtiness (in the earth) through their wealth, (nor yet corruption) by means of carvings, statues and transgressions. (The sequel) Paradise (is for those who ward off (evil)) those who ward off disbelief, idolatry, haughtiness and corruption in the earth."
3336,28,84,ibn_abbas,مَن جَآءَ بِٱلْحَسَنَةِ فَلَهُ خَيْرٌ مِّنْهَا وَمَن جَآءَ بِٱلسَّيِّئَةِ فَلاَ يُجْزَى ٱلَّذِينَ عَمِلُواْ ٱلسَّيِّئَاتِ إِلاَّ مَا كَانُواْ يَعْمَلُونَ,"(Whoso bringeth a good deed) the sincere profession of “there is no god except Allah”, (he will have better than the same) he will reap goodness from it; (while as for him who bringeth an ill deed) associating partners with Allah, (those who do ill deeds) associating partners with Allah (will be requited only what they did) the Fire."
3337,28,85,ibn_abbas,إِنَّ ٱلَّذِي فَرَضَ عَلَيْكَ ٱلْقُرْآنَ لَرَآدُّكَ إِلَىٰ مَعَادٍ قُل رَّبِّيۤ أَعْلَمُ مَن جَآءَ بِٱلْهُدَىٰ وَمَنْ هُوَ فِي ضَلاَلٍ مُّبِينٍ,(Lo! He Who hath given thee the Qur'an for a law) He Who has sent you Gabriel with the Qur'an (will surely bring you again to the place of return) to Mecca; and it is said: to Paradise. (Say) O Muhammad: (My Lord is best aware of he who bringeth guidance) the profession of Allah's divine Oneness and the Qur'an (and him who is in error manifest) and him who is in manifest disbelief and error.
3338,28,86,ibn_abbas,وَمَا كُنتَ تَرْجُوۤ أَن يُلْقَىٰ إِلَيْكَ ٱلْكِتَابُ إِلاَّ رَحْمَةً مِّن رَّبِّكَ فَلاَ تَكُونَنَّ ظَهيراً لِّلْكَافِرِينَ,"(Thou hadst no hope) O Muhammad (that the Scripture would be inspired in thee) that Gabriel would come down to you with the Qur'an and that you will be a prophet; (but it is a mercy from your Lord) but it is a blessing and honour from your Lord that He sent down Gabriel to you with the Qur'an, (so never be a helper to the disbelievers) by disbelieving."
3339,28,87,ibn_abbas,وَلاَ يَصُدُّنَّكَ عَنْ آيَاتِ ٱللَّهِ بَعْدَ إِذْ أُنزِلَتْ إِلَيْكَ وَٱدْعُ إِلَىٰ رَبِّكَ وَلاَ تَكُونَنَّ مِنَ ٱلْمُشْرِكِينَ,"(And let them not divert thee from the revelations of Allah) from the Qur'an (after they have been sent down unto thee) through Gabriel; (but call (mankind) unto thy Lord) call to the profession of Allah's divine Oneness and Book of your Lord, (and be not of those who ascribe partners (unto turn)) do not be with the idolaters, following their religion."
3340,28,88,ibn_abbas,وَلاَ تَدْعُ مَعَ ٱللَّهِ إِلَـٰهاً آخَرَ لاَ إِلَـٰهَ إِلاَّ هُوَ كُلُّ شَيْءٍ هَالِكٌ إِلاَّ وَجْهَهُ لَهُ ٱلْحُكْمُ وَإِلَيْهِ تُرْجَعُونَ,"(And cry not unto any other god along with Allah) do not worship any deity other than Allah nor call people to anyone or anything beside Allah. (There is no god save Him) alone without partners. (Everything) all works that are for other than Allah's Countenance (will perish) will not be accepted (save His Countenance) except that which is meant for the sake of His Countenance; it is also said that this means: every countenance changes except Allah's and every kingdom will vanish except His. (His is the command) the judgement between people, (and unto Him ye will be brought back) after death and he will requite each according to his works'."
3341,29,1,ibn_abbas,الۤـمۤ,"And from his narration on the authority of Ibn 'Abbas that he said regarding the interpretation of Allah's saying (Alif. Lam. Mim.): '(Alif. Lam. Mim.) He says: I am Allah, I know; it is also said that it is an oath by which Allah swore because of His saying: (Lo! We tested those who were before you)."
3342,29,2,ibn_abbas,أَحَسِبَ ٱلنَّاسُ أَن يُتْرَكُوۤاْ أَن يَقُولُوۤاْ آمَنَّا وَهُمْ لاَ يُفْتَنُونَ,"(Do men) do the Companions of Muhammad (pbuh) (imagine that they will be left) that they be given a reprieve after Muhammad (pbuh) (because they say, We believe) in Muhammad (pbuh) and in the Qur'an, (and will not be tested with affliction) and will not be tried with caprice, blameworthy innovations and the violation of sanctities?"
3343,29,3,ibn_abbas,وَلَقَدْ فَتَنَّا ٱلَّذِينَ مِن قَبْلِهِمْ فَلَيَعْلَمَنَّ ٱللَّهُ ٱلَّذِينَ صَدَقُواْ وَلَيَعْلَمَنَّ ٱلْكَاذِبِينَ,"(Lo! We tested those who were before you) before the Companions of Muhammad (pbuh) after the demise of their prophets, with caprice, blameworthy innovations and the violation of sanctities. (Thus Allah knoweth) in order that Allah sees and distinguishes (those who are sincere) in their faith by avoiding caprice, blameworthy innovation and by shunning that which is unlawful, (and knoweth those who feign) i.e. the insincere in their faith who follow caprice, blameworthy innovation and the violation of sanctities."
3344,29,4,ibn_abbas,أَمْ حَسِبَ ٱلَّذِينَ يَعْمَلُونَ ٱلسَّيِّئَاتِ أَن يَسْبِقُونَا سَآءَ مَا يَحْكُمُونَ,"The following was revealed about Abu Jahl Ibn Hisham, al-Walid Ibn al-Mughirah and 'Utbah and Shaybah the sons of Rabi'ah who had duals with 'Ali Ibn Abi Talib, may Allah be well pleased with him, Hamzah Ibn 'Abd al-Muttalib, the uncle of the Prophet (pbuh) and 'Ubaydah Ibn al-Harth Ibn 'Abd al-Muttalib on the Day of Badr; some of them boasted to others, and so Allah said: (Or do those who do ill deeds) in their state of associating partners with Allah (imagine that they can outstrip Us) that they will evade Our punishment: (Evil (for them) is that which they decide) evil is that which they judge and think for themselves."
3345,29,5,ibn_abbas,مَن كَانَ يَرْجُواْ لِقَآءَ ٱللَّهِ فَإِنَّ أَجَلَ ٱللَّهِ لآتٍ وَهُوَ ٱلسَّمِيعُ ٱلْعَلِيمُ,"(Whoso looketh forward to) whoever fears (the meeting with Allah (let him know that) Allah's reckoning) resurrection after death (is surely nigh) will surely happen, (and He is the Hearer) of what both parties said on the Day of Badr, (the Knower) of that which befalls them."
3346,29,6,ibn_abbas,وَمَن جَاهَدَ فَإِنَّمَا يُجَاهِدُ لِنَفْسِهِ إِنَّ ٱللَّهَ لَغَنِيٌّ عَنِ ٱلْعَالَمِينَ,"It was then revealed about 'Ali and his two fellow companions and the boasting they had uttered: (And whosoever striveth) in the way of Allah on the Day of Badr, (striveth only for himself) he has the reward of that, (for lo! Allah is altogether Independent of (His) creatures) He is free of need for the striving of His creatures."
3347,29,7,ibn_abbas,وَٱلَّذِينَ آمَنُواْ وَعَمِلُواْ ٱلصَّالِحَاتِ لَنُكَفِّرَنَّ عَنْهُمْ سَيِّئَاتِهِمْ وَلَنَجْزِيَنَّهُمْ أَحْسَنَ ٱلَّذِي كَانُواْ يَعْمَلُونَ,"(And as for those who believe) 'Ali and his two fellow companions (and do good works) and perform acts of obedience between themselves and their Lord, (We shall remit from them their evil deeds) We shall expiate their minor sins but not the enormities they commit (and shall repay them the best that they did) in their striving."
3348,29,8,ibn_abbas,وَوَصَّيْنَا ٱلإِنْسَانَ بِوَالِدَيْهِ حُسْناً وَإِن جَاهَدَاكَ لِتُشْرِكَ بِي مَا لَيْسَ لَكَ بِهِ عِلْمٌ فَلاَ تُطِعْهُمَآ إِلَيَّ مَرْجِعُكُمْ فَأُنَبِّئُكُم بِمَا كُنتُمْ تَعْمَلُونَ,"(We have enjoined on man) We have commanded Sa'd Ibn Abi Waqqas (kindness to parents) dutifulness towards his parents: Malik and Hamnah Bint Abi Sufyan; (but if they strive to make thee) but if they command you or want you to (join with Me) to make equal to Me (that of which thou hast no knowledge) that he is My partner and you know that he is not My partner, (then obey them not) in their idolatry; that is because his parents were idolaters. (Unto Me is your return) your return as well as your parents' (and I shall tell you what ye used to do) of good and evil in your state of faith or disbelief."
3349,29,9,ibn_abbas,وَٱلَّذِينَ آمَنُواْ وَعَمِلُواْ ٱلصَّالِحَاتِ لَنُدْخِلَنَّهُمْ فِي ٱلصَّالِحِينَ,"(And as for those who believe) in Muhammad (pbuh) and in the Qur'an (and do good works) acts of obedience between them and their Lord at all times, (We verily shall make them enter in among the righteous) with the righteous in Paradise: Abu Bakr al-Siddiq (the Veracious), 'Umar al-Faruq (the Distinguisher (between good and evil)), 'Uthman of the two lights, and 'Ali the trustworthy, may Allah be well pleased with all of them."
3350,29,10,ibn_abbas,وَمِنَ ٱلنَّاسِ مَن يِقُولُ ءَامَنَّا بِٱللَّهِ فَإِذَآ أُوذِيَ فِي ٱللَّهِ جَعَلَ فِتْنَةَ ٱلنَّاسِ كَعَذَابِ ٱللَّهِ وَلَئِنْ جَآءَ نَصْرٌ مِّن رَّبِّكَ لَيَقُولُنَّ إِنَّا كُنَّا مَعَكُمْ أَوَ لَيْسَ ٱللَّهُ بِأَعْلَمَ بِمَا فِي صُدُورِ ٱلْعَالَمِينَ,"(Of mankind) this is 'Ayyash Ibn Abi Rabi'ah al-Makhzumi (is he who saith: We believe in Allah) we are sincere in our profession of Allah's divine Oneness, (but, if he be made to suffer for the sake of Allah) if he is tortured for the sake of Allah's religion, (he mistaketh the persecution of mankind) their flogging (for Allah's punishment) in the Fire; such that he abandons Islam and reverts to his old religion; (and then, if victory cometh from your Lord) the conquest of Mecca, (will say) 'Ayyash and his host will say: (Lo! we were with you (all the while)) following your religion. (Is not Allah best aware of what is in the bosoms of (His) creatures) of good and evil? 'Ayyash and his friends embraced Islam afterwards and lived as good Muslims."
3351,29,11,ibn_abbas,وَلَيَعْلَمَنَّ ٱللَّهُ ٱلَّذِينَ آمَنُواْ وَلَيَعْلَمَنَّ ٱلْمُنَافِقِينَ,"(Verily Allah knoweth) He sees and distinguishes (those who believe) in private and openly, (and verily He knoweth) He sees and distinguishes (the hypocrites) on the Day of Badr."
3352,29,12,ibn_abbas,وَقَالَ ٱلَّذِينَ كَفَرُواْ لِلَّذِينَ آمَنُواْ ٱتَّبِعُواْ سَبِيلَنَا وَلْنَحْمِلْ خَطَايَاكُمْ وَمَا هُمْ بِحَامِلِينَ مِنْ خَطَايَاهُمْ مِّن شَيْءٍ إِنَّهُمْ لَكَاذِبُونَ,"(Those who disbelieve) the disbelievers of Mecca, Abu Jahl and his host (say unto those who believe) 'Ali, Salman [al-Farisi] and their fellow believers: (Follow our way) our religion which consists of worshipping idols (and we verily will bear your sins (for you)) on the Day of Judgement. (They cannot bear aught of their sins) on the Day of Judgement. (Lo! they verily are liars) regarding what they claim."
